distances	unit id 1	unit id 2
4.87	310380004	250110148
8.7	310380004	250020035
8.89	310380004	310830001
9.02	310380004	70090046
11.38	310380004	310590005
13.03	310380004	250060133
13.77	310380004	310960009
13.84	310380004	120010297
13.97	310380004	310610001
15.75	310380004	180010105
15.79	310380004	260720017
15.86	310380004	70090058
16.21	310380004	30010003
16.81	310380004	180180018
17.51	310380004	260330099
18.46	310380004	250010166
18.53	310380004	300110049
18.96	310380004	203340070
19.13	310380004	250180434
19.53	310380004	250061044
19.56	310380004	250010067
19.86	310380004	180120016
20.08	310380004	180150031
20.51	310380004	310680003
20.59	310380004	70970026
20.76	310380004	120140009
20.82	310380004	280020021
21	310380004	250061003
21.09	310380004	180160044
21.22	310380004	301520085
21.53	310380004	180160029
21.56	310380004	180150059
21.57	310380004	120300019
21.65	310380004	180100022
21.72	310380004	120210009
21.85	310380004	205150025
21.87	310380004	180120014
22.08	310380004	270030053
22.2	310380004	180160005
22.33	310380004	180150038
